menu_type,Item Name,Net Sales
Rotating: Brioche Donut Flavor,BD: Mango Sticky Rice,6762.94
Rotating: Brioche Donut Flavor,BD: Tiramisu,5272.55
Rotating: Brioche Donut Flavor,BD: Passionfruit,4870.67
Rotating: Brioche Donut Flavor,BD: Thai Tea Boba,3413.05
Rotating: Brioche Donut Flavor,BD: Ferrero Rocher,2775.52
Rotating: Brioche Donut Flavor,BD: Calamansi,2710.01
Rotating: Brioche Donut Flavor,BD: Creme Brulee,2671.37
Rotating: Brioche Donut Flavor,BD: Guava Cream Cheese,2485.08
Rotating: Brioche Donut Flavor,BD: Earl Grey Chocolate,2470.85
Rotating: Brioche Donut Flavor,BD: Injeolmi,2423.08
Rotating: Brioche Donut Flavor,BD: Ube,2252.81
Rotating: Brioche Donut Flavor,BD: Dubai Chocolate,1898.28
Rotating: Brioche Donut Flavor,BD: Mango Sago,1885.99
Rotating: Brioche Donut Flavor,BD: Flan,1882.97
Rotating: Brioche Donut Flavor,BD: Matcha Strawberry,1864.2
Rotating: Brioche Donut Flavor,Chocolate Loaf Cake,1853.95
Rotating: Brioche Donut Flavor,BD: Pandan & Mango,1743.32
Rotating: Brioche Donut Flavor,BD: Banana Cream Pie,1678.92
Rotating: Brioche Donut Flavor,BD: Korean Potato,1674.42
Rotating: Brioche Donut Flavor,BD: Fig Honey Marscapone,1660.04
Rotating: Brioche Donut Flavor,BD: Raspberry Cream,1650.23
Rotating: Brioche Donut Flavor,BD: Yuzu Lemon,1577.6599999999999
Rotating: Brioche Donut Flavor,BD: Triple Raspberry,1569.63
Rotating: Brioche Donut Flavor,BD: Yuja Calamansi,1551.72
Rotating: Brioche Donut Flavor,BD: Strawberry Sago,1442.65
Rotating: Brioche Donut Flavor,BD: Tang Yuan Black Sesame,1339.5500000000002
Rotating: Brioche Donut Flavor,BD: Everything Salmon,1120.0
Rotating: Brioche Donut Flavor,BD: Matcha Raspberry,1110.34
Rotating: Brioche Donut Flavor,BD: Black Earl Grey,1109.9
Rotating: Brioche Donut Flavor,BD: Strawberry Sando,1089.37
Rotating: Brioche Donut Flavor,BD: Okinawa Milk Tea Boba,1069.56
Rotating: Brioche Donut Flavor,BD: White Peach Lychee Marscapone,1069.33
Rotating: Brioche Donut Flavor,BD: Banana Caramel,1046.93
Rotating: Brioche Donut Flavor,BD: Black Sesame Berry,1016.56
Rotating: Brioche Donut Flavor,BD: Sea Salt Green Thai Tea,1013.1
Rotating: Brioche Donut Flavor,BD: Strawberry Sakura,993.02
Rotating: Brioche Donut Flavor,BD: Matcha Anko,971.75
Rotating: Brioche Donut Flavor,BD: Japanese Curry,943.5
Rotating: Brioche Donut Flavor,BD: Mango Passionfruit,942.09
Rotating: Brioche Donut Flavor,BD: Jasmine Strawberry,940.53
Rotating: Brioche Donut Flavor,BD: Raspberry Lychee Cream,938.58
Rotating: Brioche Donut Flavor,BD: Jasmine Mandarin,884.1
Rotating: Brioche Donut Flavor,BD: Che Thai,876.83
Rotating: Brioche Donut Flavor,BD: Kinako Azuki,870.65
Rotating: Brioche Donut Flavor,BD: Choc Citrus,870.09
Rotating: Brioche Donut Flavor,BD: Matcha Yuzu Lemon,868.83
Rotating: Brioche Donut Flavor,BD: Goguma Brulee,864.51
Rotating: Brioche Donut Flavor,BD: P.O.G.,857.56
Rotating: Brioche Donut Flavor,BD: Oolong Lychee,855.36
Rotating: Brioche Donut Flavor,BD: Mandarin & Cream,850.85
Rotating: Brioche Donut Flavor,BD: Ssuk,847.56
Rotating: Brioche Donut Flavor,BD: White Peach Lychee Cream,840.08
Rotating: Brioche Donut Flavor,BD: Chocolate Espresso,836.85
Rotating: Brioche Donut Flavor,BD: Hojicha & Caramel,828.89
Rotating: Brioche Donut Flavor,BD: Pineapple Dole Whip,824.45
Rotating: Brioche Donut Flavor,BD: Brown Sugar Caramel,809.2
Rotating: Brioche Donut Flavor,BD: Jasmine Blood Orange,789.95
Rotating: Brioche Donut Flavor,BD: Oolong Peach & Cream,786.5
Rotating: Brioche Donut Flavor,BD: Dirty Chai,785.92
Rotating: Brioche Donut Flavor,BD Caramel Pear,772.8
Rotating: Brioche Donut Flavor,BD: Mandarin Creamsicle,771.65
Rotating: Brioche Donut Flavor,BD: Peanut Butter Toffee Crunch,766.51
Rotating: Brioche Donut Flavor,BD: Cookie Butter,760.38
Rotating: Brioche Donut Flavor,BD: Strawberry Coconut Sago,759.55
Rotating: Brioche Donut Flavor,BD: Spiced Pear,755.26
Rotating: Brioche Donut Flavor,BD: Hojicha Maple,752.58
Rotating: Brioche Donut Flavor,BD: Matcha Mango,746.08
Rotating: Brioche Donut Flavor,BD: Matcha Strawberry Passionfruit,721.33
Rotating: Brioche Donut Flavor,BD: Key Lime Yuzu Pie,720.24
Rotating: Brioche Donut Flavor,BD: Lemon Pesto,716.94
Rotating: Brioche Donut Flavor,BD: Choc Sea Salt Cream,708.4
Rotating: Brioche Donut Flavor,BD: Hojicha Strawberry Lychee,695.45
Rotating: Brioche Donut Flavor,BD: Yuzu,695.15
Rotating: Brioche Donut Flavor,BD: Jasmine & Mango,692.3
Rotating: Brioche Donut Flavor,BD: Biscoff cheesecake,688.57
Rotating: Brioche Donut Flavor,BD: Osmanthus Tangerine,667.74
Rotating: Brioche Donut Flavor,BD:Ube boba,667.56
Rotating: Brioche Donut Flavor,BD: Brown Sugar & Date Caramel,663.0
Rotating: Brioche Donut Flavor,BD: Vanilla Azuki,658.91
Rotating: Brioche Donut Flavor,BD: Boricha,658.38
Rotating: Brioche Donut Flavor,BD: Spiced Goguma,652.83
Rotating: Brioche Donut Flavor,BD: Honey Miso,637.39
Rotating: Brioche Donut Flavor,BD: Sweet Heart Cherry Pie,624.25
Rotating: Brioche Donut Flavor,BD: Melona,619.86
Rotating: Brioche Donut Flavor,BD: Apple Pie,618.21
Rotating: Brioche Donut Flavor,BD Lemon Cheesecake,606.05
Rotating: Brioche Donut Flavor,BD: Dark Chico Lingonberry,587.68
Rotating: Brioche Donut Flavor,BD: Strawberry Cannoli,584.41
Rotating: Brioche Donut Flavor,BD: Blackberry Earl Grey,577.29
Rotating: Brioche Donut Flavor,BD: Raspberry Curd,576.36
Rotating: Brioche Donut Flavor,BD Yuzu Cream Cheese,565.13
Rotating: Brioche Donut Flavor,BD: Mango Lychee Calpico,563.56
Rotating: Brioche Donut Flavor,BD: White Chocolate Raspberry,552.51
Rotating: Brioche Donut Flavor,BD: Ube Tres Leche,543.88
Rotating: Brioche Donut Flavor,BD: Matcha Strawberry Lychee,538.19
Rotating: Brioche Donut Flavor,BD: Lemon Blueberry,536.55
Rotating: Brioche Donut Flavor,BD: Cookies N' Cream,507.74
Rotating: Brioche Donut Flavor,BD: S’mores,469.4
Rotating: Brioche Donut Flavor,BD: Salted Espresso,447.15
Rotating: Brioche Donut Flavor,Cookie Tin,442.5
Rotating: Brioche Donut Flavor,BD: Dalgona,409.5
Rotating: Brioche Donut Flavor,BD: Jasmine Peach,394.35
Rotating: Brioche Donut Flavor,Sando: Strawberry Lychee,372.82
Rotating: Brioche Donut Flavor,Raspberry Choco Loaf,350.8
Rotating: Brioche Donut Flavor,Macaron Set,316.8
Rotating: Brioche Donut Flavor,BD: Honeydew,293.42
Rotating: Brioche Donut Flavor,BD: Valentines Day,278.34
Rotating: Brioche Donut Flavor,Olive Oil Grapefruit Cake,274.4
Rotating: Brioche Donut Flavor,Chocolate Passionfruit Loaf,264.93
Rotating: Brioche Donut Flavor,Orange Olive Oil Cake,257.63
Rotating: Brioche Donut Flavor,Strawberry Daifuku,216.0
Rotating: Brioche Donut Flavor,BD: Black Sesame,213.67
Rotating: Brioche Donut Flavor,Shiso Loaf,123.75
Rotating: Brioche Donut Flavor,BD: Coconut Sago Cream Mango,90.28
Rotating: Brioche Donut Flavor,Shine Muscat Daifuku,76.5
Rotating: Brioche Donut Flavor,JY: Ssuk Marble,35.0
Rotating: Brioche Donut Flavor,JY: Misu Cookie,20.0
Rotating: Brioche Donut Flavor,BD: Matcha Raspberry Lychee,17.25
Rotating: Brioche Donut Flavor,Banana Caramel,16.5
Rotating: Brioche Donut Flavor,JY: Madeline,16.0
Rotating: Brioche Donut Flavor,BD: Hojicha Strawberry,0.0
Rotating: Brioche Donut Flavor,BD: Mango matcha,0.0
